"accident_severity","road_type","speed_limit","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","vehicle_type","vehicle_manoeuvre","vehicle_location_restricted_lane","skidding_and_overturning","hit_object_in_carriageway","first_point_of_impact","journey_purpose_of_driver","sex_of_driver","age_of_driver","age_of_vehicle"
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,2,2,3,0
2,6,0,1,1,1,0,0,1,9,3,0,0,0,4,0,1,2,3
0,6,0,1,1,2,0,0,1,9,1,0,0,0,1,1,1,2,3
0,6,0,1,5,2,0,0,1,8,5,0,0,0,4,1,1,2,1
0,7,0,1,1,1,0,0,1,9,6,0,0,0,2,0,2,2,3
0,6,0,1,1,1,0,0,2,9,5,0,0,0,1,0,1,1,3
2,6,0,1,1,1,0,0,1,9,5,0,0,0,3,0,1,3,2
0,6,0,1,1,2,0,0,1,9,3,0,0,0,4,0,2,3,3
0,6,0,1,1,1,0,0,1,19,5,0,0,0,3,0,1,2,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,2,3
2,6,0,1,1,1,0,0,1,9,6,0,0,0,2,2,1,2,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,0
0,6,0,1,1,1,0,0,1,8,2,0,2,1,1,1,1,2,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,3,2,2,3,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,2,2,2,1
2,6,0,1,1,1,0,0,1,9,6,0,0,0,1,0,1,4,0
2,6,1,1,1,1,0,0,1,9,3,0,0,0,1,1,1,3,2
2,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,4,1
2,6,0,2,1,1,0,0,1,9,6,0,0,0,2,0,1,2,3
2,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,1,2
2,6,0,1,2,2,0,0,1,9,3,0,0,0,1,0,1,4,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,4,1,1,2,4
0,6,0,1,1,1,0,0,1,9,3,0,0,0,4,2,1,3,1
2,6,0,1,1,1,0,0,1,9,3,0,0,0,2,0,2,1,3
2,6,0,1,1,1,0,0,1,9,6,1,0,0,2,0,2,2,3
2,2,0,2,2,2,0,0,1,8,2,0,1,0,4,1,1,2,3
0,6,0,1,1,1,0,0,1,9,1,0,0,0,3,1,2,2,4
2,6,0,1,1,1,0,0,1,9,3,0,0,0,4,0,2,4,3
2,7,0,1,1,2,0,1,1,9,1,0,0,0,3,1,1,2,2
0,6,0,1,1,1,0,0,1,9,6,0,0,0,4,0,1,3,3
2,6,0,2,1,1,0,0,1,8,1,0,0,0,1,1,1,2,3
0,6,0,1,1,1,0,0,2,9,3,0,0,0,1,0,1,1,4
0,6,0,2,2,2,0,0,1,8,3,0,0,0,1,1,1,3,4
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,3,3
0,6,0,1,1,1,1,0,1,9,5,0,0,0,1,0,2,3,3
0,6,0,1,2,2,0,0,2,9,3,0,0,0,1,1,2,3,1
0,6,0,2,1,1,0,0,1,8,5,0,0,0,0,1,1,3,2
2,6,0,1,1,2,0,0,1,9,3,0,0,0,1,0,2,1,1
2,6,0,1,1,2,0,0,1,19,3,0,0,0,1,1,1,2,1
0,6,0,1,2,2,0,0,1,9,3,0,0,0,3,1,2,3,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,3,1,2,2,1
0,6,0,1,1,1,0,0,1,9,3,0,0,0,3,1,2,3,2
2,6,0,1,1,1,0,0,1,9,5,0,0,0,1,1,2,4,2
0,3,0,1,1,1,0,0,1,9,5,1,0,0,3,1,2,3,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,2,0
0,6,0,1,1,1,0,0,1,9,1,0,0,0,3,0,1,1,2
2,6,0,2,4,2,0,0,1,9,2,0,1,0,3,1,1,1,3
0,6,0,2,2,2,2,0,1,19,3,0,0,0,1,0,1,2,0
0,6,0,1,1,1,0,0,1,9,5,0,0,0,2,0,1,3,1
2,6,0,2,1,1,0,0,1,9,3,0,0,0,3,1,2,3,0
0,6,0,2,1,1,0,0,1,9,5,0,0,0,1,0,1,3,1
2,6,0,1,1,1,0,0,1,9,6,0,0,0,3,2,2,1,1
2,6,1,2,1,1,0,0,1,9,3,0,0,0,1,1,1,3,3
2,6,0,3,1,1,0,0,1,9,3,0,0,0,4,0,1,3,4
2,7,1,2,1,2,0,0,2,9,3,0,0,0,1,0,1,3,1
0,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,2,4
0,6,0,1,1,1,0,0,1,9,4,0,0,0,1,1,1,2,0
0,6,0,2,1,1,0,0,2,9,3,0,0,0,4,1,1,3,1
0,6,0,2,1,1,0,0,1,9,3,0,0,0,3,0,1,3,1
0,6,0,2,2,2,0,0,2,9,1,0,0,0,3,1,1,3,0
0,6,0,2,5,2,0,0,1,8,6,0,0,0,2,0,1,2,1
2,6,0,2,4,2,0,0,1,9,1,0,0,0,1,1,1,3,2
0,6,0,2,5,2,0,0,1,9,3,0,0,0,1,0,1,1,0
1,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,2,2
0,6,1,2,4,2,0,0,1,8,1,0,0,0,3,1,1,2,1
2,3,1,3,1,1,0,0,2,9,3,0,0,0,3,0,2,1,2
2,6,0,2,5,2,0,0,1,9,3,0,0,0,4,1,2,1,0
0,6,0,2,1,2,0,0,1,9,2,0,0,0,4,0,1,1,1
2,6,0,2,1,2,0,0,1,9,3,0,0,0,1,0,1,3,0
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,2,1
2,6,0,2,1,1,0,0,1,8,3,0,0,0,3,1,1,3,2
0,6,1,1,1,2,0,0,1,9,5,0,0,0,1,1,2,2,2
0,6,0,1,2,2,0,0,1,19,3,0,0,0,4,0,1,3,0
0,3,0,1,1,2,0,1,1,9,3,0,0,1,1,0,2,2,2
2,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,2,1
0,6,0,1,1,2,0,0,1,9,1,0,0,0,1,0,1,3,3
0,6,0,2,1,2,0,1,1,9,2,0,0,0,1,0,1,4,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,2,3
0,6,0,1,1,1,0,0,1,9,4,0,0,0,1,1,2,1,3
0,3,0,1,1,2,0,0,1,19,1,0,0,0,0,1,1,2,2
0,6,0,2,1,2,0,0,1,9,5,0,0,0,0,0,2,3,1
0,6,0,2,1,1,0,0,1,8,6,0,0,0,3,1,1,3,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,2,2
2,6,0,2,1,2,0,0,1,8,1,0,0,0,1,1,1,3,2
2,6,0,1,1,1,0,0,1,9,1,0,0,0,0,0,2,3,2
2,6,1,1,1,1,0,0,1,9,5,0,0,0,4,0,1,3,3
0,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,1,1,3
2,6,0,2,1,2,0,0,1,9,1,0,0,0,3,0,1,3,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,2,0
0,6,0,1,1,1,0,0,1,9,5,1,0,0,1,0,2,2,2
0,6,0,2,1,1,0,0,1,8,5,0,0,0,0,1,1,3,2
2,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,1,1
0,6,0,1,1,1,0,0,1,9,3,0,0,0,3,0,2,3,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,0,0,1,1,1
0,6,0,1,1,1,0,0,2,9,3,0,0,0,1,0,2,2,1
0,6,0,1,1,1,0,0,1,9,5,0,0,0,4,0,2,4,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,4,1,2,3,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,2,2
0,6,0,1,1,1,0,0,2,9,3,0,0,0,4,1,1,3,1
0,2,0,1,1,1,0,0,1,9,6,0,0,0,2,0,2,3,2
0,6,0,1,1,1,0,0,2,9,4,0,0,0,4,0,2,1,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,2,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,3,3
0,6,1,1,4,2,0,0,2,9,1,0,0,0,1,0,2,3,3
0,6,0,1,1,1,0,0,1,9,1,0,0,0,0,0,2,3,1
0,6,0,1,2,2,0,0,1,19,1,0,0,0,1,1,1,2,1
0,6,0,1,1,1,0,0,1,9,4,0,0,0,1,1,2,3,3
2,6,0,1,1,1,0,0,1,19,3,0,0,0,1,1,1,2,1
2,2,0,2,1,1,0,0,1,9,3,0,0,0,3,1,1,1,1
2,6,0,1,1,1,0,0,1,9,3,1,0,0,1,0,2,2,0
0,6,0,1,1,1,0,0,2,19,1,0,0,0,0,0,1,2,2
2,6,0,2,1,1,0,0,1,9,1,0,0,0,3,0,1,2,3
1,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,4,3
0,6,0,1,1,1,0,0,2,19,3,0,0,0,1,1,1,3,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,0,0,1,3,2
0,2,0,1,1,1,0,0,1,8,1,0,0,0,1,1,1,2,0
2,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,3,2
0,6,0,1,1,1,0,0,1,8,5,0,0,0,0,1,1,3,2
2,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,2,3,3
0,6,0,1,1,1,0,0,1,19,3,0,0,0,4,0,1,3,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,4,1
2,6,0,2,2,2,0,0,1,9,3,0,0,0,3,0,1,4,3
0,6,0,1,1,2,0,0,1,9,3,0,0,0,1,2,1,2,2
0,6,0,1,2,2,0,0,1,9,1,0,0,0,1,0,2,3,1
0,3,0,2,2,2,0,0,1,19,4,0,0,0,1,1,2,2,0
2,6,0,1,1,1,0,0,1,9,3,0,0,0,3,0,1,3,3
0,6,0,1,1,1,0,0,1,9,6,0,0,0,4,0,1,4,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,4,2
0,6,0,1,1,1,0,0,1,9,6,0,0,0,2,0,1,4,2
0,3,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,2,3
2,6,0,2,1,1,0,0,1,8,3,0,0,0,1,1,1,3,0
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,2,2
2,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,4,2
0,6,0,2,1,1,0,0,1,9,1,0,0,0,4,1,2,3,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,1,3
0,6,0,1,1,1,0,0,1,9,6,0,0,0,4,0,1,3,3
0,6,0,1,1,2,0,0,1,9,1,0,0,0,4,0,2,2,2
0,6,0,1,1,2,0,0,2,9,6,1,0,0,2,0,1,3,3
0,6,0,1,1,2,0,0,2,9,3,0,0,0,1,0,1,4,3
0,6,0,1,3,1,0,0,1,9,3,0,0,0,3,0,2,2,3
2,6,0,1,1,1,0,0,1,9,3,0,0,0,3,0,1,3,3
0,6,0,2,1,1,0,0,1,9,5,0,0,0,3,0,1,1,0
0,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,1,3,3
2,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,2,2
2,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,2,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,1,0
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,2,2
0,6,0,1,1,1,0,0,1,8,3,0,0,0,1,1,1,2,0
0,6,0,1,1,1,0,0,1,9,6,0,0,0,2,0,2,2,3
0,6,0,1,2,2,0,0,1,9,3,0,0,0,1,2,2,2,3
0,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,2,3,4
2,6,0,1,1,1,0,0,1,9,3,0,0,0,4,0,2,2,0
2,6,0,2,1,1,0,0,1,19,6,0,0,0,0,1,1,2,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,4,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,2,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,2,2
0,6,0,1,1,1,0,0,1,9,6,0,0,0,2,0,1,1,0
0,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,3,2
0,6,0,1,1,1,0,0,1,9,6,0,0,0,2,0,1,3,3
2,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,3,2
0,6,0,1,2,2,0,0,1,9,3,0,0,0,1,1,1,2,3
2,6,0,3,4,2,0,0,1,9,1,0,0,0,1,0,2,3,3
2,6,0,1,5,2,0,0,1,9,1,0,0,0,1,0,1,4,2
2,6,0,2,2,2,0,0,1,9,1,0,0,0,0,0,1,2,2
2,6,0,2,2,2,0,0,1,9,5,0,0,0,4,0,1,3,3
0,6,0,2,5,2,0,0,1,19,1,0,0,0,1,0,1,1,2
0,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,2,4,3
0,6,0,2,2,2,0,0,1,9,3,0,0,0,1,0,1,3,2
0,6,1,1,1,1,0,0,1,9,3,0,0,0,3,1,1,2,2
0,6,0,2,3,1,0,0,1,9,1,0,0,0,1,1,2,1,2
0,6,0,2,2,2,0,0,1,9,5,0,0,0,1,0,1,3,3
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,1
0,6,0,1,1,2,0,0,1,9,3,0,0,0,0,1,1,2,1
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,1,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,1
0,6,0,2,1,2,0,0,1,9,1,0,0,0,1,0,2,2,1
0,6,0,1,1,2,0,0,1,9,1,0,0,0,0,0,1,2,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,3,0,1,2,3
0,6,0,1,3,1,0,0,1,9,3,0,0,0,1,0,1,4,3
0,3,0,2,1,1,0,0,1,9,1,0,0,0,1,0,2,4,1
0,6,0,1,1,2,0,0,1,9,4,0,0,0,1,0,2,3,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,1,1,1,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,1,1,2,2
0,6,0,2,5,2,0,0,1,9,6,0,0,0,2,0,1,2,0
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,2,2
0,6,0,1,2,2,0,0,1,19,6,1,0,0,2,0,1,3,3
0,6,0,1,1,2,0,0,1,9,3,0,0,0,3,0,2,2,3
0,6,0,1,1,2,0,0,1,9,1,0,0,0,1,2,2,3,0
2,6,0,1,1,1,0,0,1,9,5,0,0,0,4,1,2,3,0
0,6,0,1,2,2,0,0,1,9,3,0,0,0,1,1,1,2,1
1,6,0,1,1,1,0,0,1,9,1,0,0,0,3,0,2,2,2
0,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,2,2,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,2,0
2,2,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,4,4
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,2,1
0,6,0,1,1,1,0,0,1,9,3,0,0,0,2,0,1,1,1
0,6,1,1,1,1,0,0,1,9,3,0,0,0,0,0,1,3,2
0,6,0,1,1,2,0,0,1,9,6,0,0,0,2,0,1,3,2
2,6,0,2,1,1,0,0,1,9,3,0,0,0,1,1,1,3,3
2,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,4,2
0,6,0,1,5,1,0,0,1,9,1,0,0,0,1,0,2,2,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,1,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,1,0
0,6,0,1,1,1,0,0,1,9,1,0,0,0,3,0,1,2,1
0,6,0,1,1,1,0,0,1,9,5,1,0,0,0,0,1,3,3
0,6,0,1,5,1,0,0,1,9,3,0,0,0,4,0,1,1,0
0,6,0,2,1,1,0,0,1,9,5,0,0,0,1,0,2,4,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,1,2,1,2
0,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,1,3,2
2,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,2,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,2,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,0,0,1,3,3
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,3,2
0,6,0,1,1,1,0,0,1,9,3,0,2,1,1,1,2,3,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,4,1,2,3,0
0,6,0,1,1,1,0,0,1,9,1,1,0,0,4,2,2,3,1
0,6,0,1,5,1,0,0,1,9,3,0,0,0,1,0,2,2,0
0,3,1,1,1,1,0,0,1,9,4,0,0,0,1,1,2,1,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,3,3
2,6,0,1,1,1,0,0,1,9,3,0,0,0,4,2,2,3,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,2,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,1,0
0,3,0,1,1,1,0,0,1,9,6,0,0,0,2,0,1,3,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,4,0,2,4,2
0,6,0,1,1,2,0,0,1,9,1,0,0,0,1,2,2,2,2
0,6,0,2,1,1,0,0,1,9,1,0,0,0,3,0,2,2,2
2,6,0,1,3,1,0,0,1,9,3,0,0,0,3,1,2,2,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,4,0,1,2,2
1,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,3
2,6,0,1,1,1,0,0,1,9,3,0,0,0,3,0,1,2,0
0,6,0,1,5,2,0,0,1,9,3,0,0,0,1,0,1,4,3
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,2,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,3,3
0,6,0,1,2,2,0,0,1,8,3,0,0,0,3,1,1,3,3
0,6,0,1,2,2,0,0,1,9,1,0,0,0,1,0,2,3,1
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,4,3
2,6,0,1,1,1,0,0,1,9,1,0,0,0,3,0,2,2,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,2,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,2,2,3,2
0,6,0,1,1,1,0,0,1,19,3,0,0,0,1,1,1,1,0
0,6,0,1,1,1,0,0,1,9,6,0,0,0,2,0,1,4,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,4,1,1,3,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,2,2
0,7,0,1,1,1,0,0,1,9,3,0,0,0,3,1,1,4,3
0,6,0,1,2,2,0,0,1,9,6,0,0,0,2,0,1,2,0
2,2,0,1,1,1,0,0,1,9,5,0,0,0,1,0,1,2,0
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,1,2,3,2
0,6,0,1,1,1,0,0,1,9,4,0,0,0,1,1,1,3,2
2,6,0,1,1,1,0,0,1,9,6,1,0,0,2,0,1,3,1
0,6,0,1,2,2,0,0,1,9,5,0,0,0,4,0,1,3,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,3,0,1,1,1
2,6,0,1,1,1,0,0,1,9,6,0,0,0,2,0,1,2,2
2,6,0,1,1,1,0,0,1,9,6,1,0,0,4,0,1,3,2
0,7,0,2,1,1,0,0,1,9,3,0,0,0,0,0,1,3,3
0,6,0,3,2,2,0,0,1,19,1,0,0,0,1,0,1,2,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,3,0,1,2,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,0,0,2,3,0
0,6,0,1,1,1,0,0,1,9,6,1,0,0,2,1,1,2,3
2,3,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,1,2
0,6,0,1,2,2,0,0,1,19,1,0,0,0,3,1,1,2,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,4,0,1,2,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,1,1,3,4
0,3,0,1,2,2,0,0,1,9,1,0,0,0,4,0,1,1,3
0,6,0,1,1,1,0,0,1,9,6,0,0,0,1,0,1,4,0
2,2,0,1,1,1,0,0,1,9,3,0,0,0,0,0,1,2,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,3,3
0,6,0,1,2,2,0,0,1,9,1,0,0,0,1,0,1,3,2
0,2,0,1,1,1,0,0,1,9,3,0,0,0,4,0,1,2,1
0,3,1,1,1,1,0,0,1,9,3,0,0,0,1,0,1,4,3
2,6,0,1,1,2,0,0,1,9,1,0,0,0,1,2,2,3,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,4,4
0,6,0,1,1,1,0,0,1,9,5,1,0,0,2,0,2,2,2
0,6,0,1,1,1,0,0,1,9,5,0,0,0,1,1,2,3,2
0,6,0,1,2,2,0,0,1,9,3,0,0,0,4,0,1,3,0
0,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,2,2,2
2,6,0,1,1,2,0,0,1,9,3,0,0,0,2,0,1,2,3
0,2,0,1,2,2,0,0,1,19,1,0,0,0,1,1,1,2,0
0,6,0,1,1,1,0,0,1,9,5,0,1,0,1,0,1,4,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,3
0,6,0,1,1,1,0,0,1,9,5,0,0,0,1,0,2,3,3
2,6,0,1,1,1,0,0,1,9,5,0,0,0,1,0,2,2,3
2,2,0,1,3,1,0,0,1,9,3,0,0,0,3,0,1,2,0
2,6,0,2,2,2,0,0,1,9,3,0,0,0,1,1,1,2,2
0,6,0,1,2,2,0,0,1,9,3,0,0,0,1,1,1,2,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,1,1,3,2
0,6,0,2,1,1,0,0,1,9,5,0,0,0,1,0,2,3,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,1,2,3,0
0,6,0,1,1,2,0,0,1,9,3,0,0,0,1,1,1,2,2
2,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,2,3
0,6,0,1,1,1,0,0,1,9,5,1,0,0,3,0,1,3,1
0,6,0,2,1,1,0,0,1,9,1,1,0,0,1,1,1,3,3
2,6,0,1,1,1,0,0,1,9,6,0,0,0,3,0,2,4,0
0,6,0,2,1,1,0,0,1,9,1,0,0,0,3,0,1,3,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,3,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,1,2,4,0
0,6,0,2,2,2,0,0,1,9,3,0,0,0,1,0,1,3,3
0,6,0,2,1,1,0,0,1,9,5,0,0,0,1,0,1,2,2
2,6,0,2,1,2,0,0,1,9,1,0,0,0,1,1,1,1,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,4,1,1,1,3
2,6,0,1,3,2,0,0,1,9,1,0,0,0,0,0,2,3,4
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,1,3
0,6,0,2,2,2,0,0,1,9,3,0,0,0,1,0,1,3,0
0,6,0,1,2,2,0,0,1,9,1,0,0,0,1,2,1,3,2
0,6,0,2,2,2,0,0,1,9,1,0,0,0,1,1,1,3,0
0,6,0,1,1,2,0,0,1,9,1,0,0,0,1,1,1,2,2
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,1,0
2,6,0,2,1,2,0,0,1,9,1,0,0,0,1,1,1,3,1
0,6,0,2,1,1,0,0,1,9,6,0,0,0,2,0,1,2,2
0,6,0,1,1,1,0,0,1,9,2,0,0,0,3,0,1,4,2
0,6,0,2,1,2,0,0,1,9,1,0,0,0,1,0,1,2,3
0,6,0,2,1,1,0,0,1,8,5,1,0,0,1,1,1,3,4
0,6,0,2,1,1,0,0,1,9,1,0,0,0,1,1,1,3,1
2,6,0,2,1,1,0,0,1,9,1,0,0,0,1,1,1,2,0
2,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,2,1,1
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,3,2
0,6,0,2,3,1,0,0,1,9,3,0,0,0,4,1,1,2,1
0,6,0,1,1,1,0,0,1,9,5,0,0,0,3,0,1,2,2
2,6,0,2,1,2,0,0,1,9,1,0,0,0,1,0,2,2,2
2,6,0,2,2,2,0,0,1,9,1,0,0,0,1,0,2,3,2
2,2,0,2,1,2,0,0,1,9,1,0,0,0,1,1,2,2,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,4,0,1,4,3
0,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,3,3
0,6,0,1,1,2,0,0,1,9,4,0,0,0,1,2,2,2,2
1,6,0,1,1,1,0,0,1,9,1,0,0,0,4,0,1,4,1
0,6,0,2,1,2,0,0,1,9,3,0,0,0,1,0,1,4,1
0,6,0,2,1,2,0,0,1,9,1,0,0,0,1,0,1,2,3
0,6,0,2,5,2,0,0,1,8,6,0,0,0,2,1,1,3,2
2,6,0,2,2,2,0,0,1,9,1,0,0,0,1,0,1,2,4
2,2,0,2,1,1,0,0,1,9,3,0,0,0,1,0,2,2,4
0,6,0,2,1,1,0,0,1,9,4,0,0,0,1,0,1,2,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,3,1,1,3,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,2,4
0,6,0,2,2,2,0,0,1,9,3,0,0,0,1,0,2,2,3
2,6,0,1,1,2,0,0,1,9,1,0,0,0,0,0,2,3,4
0,6,1,1,2,2,0,0,1,9,1,0,0,0,3,1,1,1,1
1,6,0,2,1,2,0,0,1,9,3,0,0,0,1,0,1,1,3
0,6,0,2,2,2,0,0,1,9,1,0,0,0,1,0,1,3,4
0,6,0,1,1,2,0,0,1,9,3,0,0,0,1,0,2,2,2
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,1,1,2,0
1,6,0,2,1,1,0,0,1,9,1,0,0,0,1,0,1,3,2
0,6,0,2,1,2,0,0,1,9,3,0,0,0,1,1,2,3,3
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,3,0
0,6,0,1,1,1,0,0,1,9,3,0,0,0,3,0,2,2,1
0,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,2,2,2
0,6,0,1,2,2,0,0,1,9,1,0,0,0,1,0,2,1,3
0,6,0,1,1,1,0,0,1,9,1,0,0,0,0,1,2,2,1
2,7,1,1,1,1,0,0,2,9,1,0,0,0,1,0,1,1,0
2,6,0,1,1,1,0,0,1,9,3,0,0,0,1,0,1,1,2
0,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,1,3,2
0,6,0,2,1,2,0,0,1,9,1,0,0,0,2,0,1,1,4
0,6,0,1,2,2,0,0,1,9,3,0,0,0,1,2,2,2,3
2,6,0,2,2,2,0,0,1,9,3,0,0,0,0,0,1,3,1
0,6,0,1,1,1,0,0,1,9,3,0,0,0,0,0,1,2,2
2,6,0,1,1,1,0,0,1,9,1,0,0,0,1,0,2,2,2
0,6,0,1,2,2,0,0,1,9,2,0,0,0,1,0,2,1,1
1,6,1,1,1,1,0,0,2,9,2,0,0,0,1,0,1,3,0
2,6,0,2,1,1,0,0,1,9,3,0,0,0,1,0,1,2,1
2,6,0,1,2,1,0,0,1,9,3,0,0,0,0,0,2,3,2
0,6,0,2,1,1,0,0,1,9,3,0,0,0,4,1,1,3,2
0,6,0,1,1,1,0,0,1,9,5,0,0,0,3,0,2,4,0
0,6,0,1,1,1,0,0,1,9,5,0,0,0,0,0,2,3,2
